distance_m,time_s,elevation_m
106.0,2120.0,0.1181
107.0,2140.0,0.1158
108.0,2160.0,0.2281
109.0,2180.0,0.2421
110.0,2200.0,0.3734
111.0,2220.0,0.3749
112.0,2240.0,0.4054
113.0,2260.0,0.3185
114.0,2280.0,0.3075
115.0,2300.0,0.1963
116.0,2320.0,0.196
117.0,2340.0,0.1416
118.0,2360.0,0.2136
119.0,2380.0,0.1909
120.0,2400.0,0.2498
121.0,2420.0,0.2241
122.0,2440.0,0.5246
123.0,2460.0,0.7218
124.0,2480.0,0.3581
125.0,2500.0,-0.0801
126.0,2520.0,-0.1008
127.0,2540.0,-0.1984
128.0,2560.0,-0.1504
129.0,2580.0,-0.1659
130.0,2600.0,-0.0965
131.0,2620.0,-0.1413
132.0,2640.0,-0.1129
133.0,2660.0,-0.222
134.0,2680.0,-0.274
135.0,2700.0,-0.3792
136.0,2720.0,-0.3694
137.0,2740.0,-0.4029
138.0,2760.0,-0.313
139.0,2780.0,-0.2777
140.0,2800.0,-0.1975
141.0,2820.0,-0.2035
142.0,2840.0,-0.1627
143.0,2860.0,-0.1949
144.0,2880.0,-0.2014
145.0,2900.0,-0.2642
146.0,2920.0,-0.2285
147.0,2940.0,-0.2238
148.0,2960.0,-0.0975
149.0,2980.0,-0.0481
150.0,3000.0,0.0821
151.0,3020.0,0.105
152.0,3040.0,0.1698
153.0,3060.0,0.1391
154.0,3080.0,0.1561
155.0,3100.0,0.1103
156.0,3120.0,0.1289
157.0,3140.0,0.4291
158.0,3160.0,0.8147
159.0,3180.0,0.5475
160.0,3200.0,0.3594
161.0,3220.0,0.3652
162.0,3240.0,0.4326
163.0,3260.0,0.3248
164.0,3280.0,0.3152
165.0,3300.0,0.1926
166.0,3320.0,0.203
167.0,3340.0,0.1452
168.0,3360.0,0.196
169.0,3380.0,0.1928
170.0,3400.0,0.2535
171.0,3420.0,0.2268
172.0,3440.0,0.2178
173.0,3460.0,0.0959
174.0,3480.0,0.0369
175.0,3500.0,-0.082
176.0,3520.0,-0.0996
177.0,3540.0,-0.1849
178.0,3560.0,-0.1452
179.0,3580.0,-0.1538
180.0,3600.0,-0.0796
181.0,3620.0,-0.1254
182.0,3640.0,-0.1233
183.0,3660.0,-0.2087
184.0,3680.0,-0.2551
185.0,3700.0,-0.3537
186.0,3720.0,-0.3707
187.0,3740.0,-0.4236
188.0,3760.0,-0.3467
189.0,3780.0,0.0097
190.0,3800.0,0.4156
191.0,3820.0,0.1046
192.0,3840.0,-0.1452
193.0,3860.0,-0.183
194.0,3880.0,-0.2043
195.0,3900.0,-0.269
196.0,3920.0,-0.2159
197.0,3940.0,-0.2263
198.0,3960.0,-0.1082
199.0,3980.0,-0.0513
200.0,4000.0,0.0871
